# output from supermarket_sales.csv #in reverse order

2024-05-02 11:21:41,128 - INFO - Starting to stream data from supermarket_sales.csv to ('localhost', 9999).
2024-05-02 11:21:41,128 - INFO - Opened for reading: supermarket_sales.csv.
2024-05-02 11:21:41,136 - INFO - Sent: b'[849-09-3807, A, Yangon, Member, Female, Fashion accessories, 88.34, 7, 30.919, 649.299, 2/18/2019, 13:28, Cash, 618.38, 4.761904762, 30.919, 6.6]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:21:44,144 - INFO - Sent: b'[347-56-2442, A, Yangon, Normal, Male, Home and lifestyle, 65.82, 1, 3.291, 69.111, 2/22/2019, 15:33, Cash, 65.82, 4.761904762, 3.291, 4.1]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:21:47,147 - INFO - Sent: b'[727-02-1313, A, Yangon, Member, Male, Food and beverages, 31.84, 1, 1.592, 33.432, 2/9/2019, 13:22, Cash, 31.84, 4.761904762, 1.592, 7.7]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:21:50,151 - INFO - Sent: b'[303-96-2227, B, Mandalay, Normal, Female, Home and lifestyle, 97.38, 10, 48.69, 1022.49, 3/2/2019, 17:16, Ewallet, 973.8, 4.761904762, 48.69, 4.4]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:21:53,153 - INFO - Sent: b'[233-67-5758, C, Naypyitaw, Normal, Male, Health and beauty, 40.35, 1, 2.0175, 42.3675, 1/29/2019, 13:46, Ewallet, 40.35, 4.761904762, 2.0175, 6.2]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:21:56,158 - INFO - Sent: b'[652-49-6720, C, Naypyitaw, Member, Female, Electronic accessories, 60.95, 1, 3.0475, 63.9975, 2/18/2019, 11:40, Ewallet, 60.95, 4.761904762, 3.0475, 5.9]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:21:59,164 - INFO - Sent: b'[690-01-6631, B, Mandalay, Normal, Male, Fashion accessories, 17.49, 10, 8.745, 183.645, 2/22/2019, 18:35, Ewallet, 174.9, 4.761904762, 8.745, 6.6]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:02,209 - INFO - Sent: b'[745-74-0715, A, Yangon, Normal, Male, Electronic accessories, 58.03, 2, 5.803, 121.863, 3/10/2019, 20:46, Ewallet, 116.06, 4.761904762, 5.803, 8.8]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:05,216 - INFO - Sent: b'[602-16-6955, B, Mandalay, Normal, Female, Sports and travel, 76.6, 10, 38.3, 804.3, 1/24/2019, 18:10, Ewallet, 766, 4.761904762, 38.3, 6]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:08,219 - INFO - Sent: b'[886-18-2897, A, Yangon, Normal, Female, Food and beverages, 56.56, 5, 14.14, 296.94, 3/22/2019, 19:06, Credit card, 282.8, 4.761904762, 14.14, 4.5]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:11,222 - INFO - Sent: b'[430-53-4718, B, Mandalay, Member, Male, Health and beauty, 75.37, 8, 30.148, 633.108, 1/28/2019, 15:46, Credit card, 602.96, 4.761904762, 30.148, 8.4]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:14,229 - INFO - Sent: b'[267-62-7380, C, Naypyitaw, Member, Male, Electronic accessories, 82.34, 10, 41.17, 864.57, 3/29/2019, 19:12, Ewallet, 823.4, 4.761904762, 41.17, 4.3]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:17,233 - INFO - Sent: b'[552-44-5977, B, Mandalay, Member, Male, Health and beauty, 62, 8, 24.8, 520.8, 1/3/2019, 19:08, Credit card, 496, 4.761904762, 24.8, 6.2]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:20,234 - INFO - Sent: b'[764-44-8999, B, Mandalay, Normal, Female, Health and beauty, 14.76, 2, 1.476, 30.996, 2/18/2019, 14:42, Ewallet, 29.52, 4.761904762, 1.476, 4.3]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:23,239 - INFO - Sent: b'[374-38-5555, B, Mandalay, Normal, Female, Fashion accessories, 63.71, 5, 15.9275, 334.4775, 2/7/2019, 19:30, Ewallet, 318.55, 4.761904762, 15.9275, 8.5]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:26,242 - INFO - Sent: b'[189-40-5216, C, Naypyitaw, Normal, Male, Electronic accessories, 96.37, 7, 33.7295, 708.3195, 1/9/2019, 11:40, Cash, 674.59, 4.761904762, 33.7295, 6]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:29,243 - INFO - Sent: b'[148-41-7930, C, Naypyitaw, Normal, Male, Health and beauty, 99.96, 7, 34.986, 734.706, 1/23/2019, 10:33, Cash, 699.72, 4.761904762, 34.986, 6.1]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:32,245 - INFO - Sent: b'[139-32-4183, A, Yangon, Member, Female, Sports and travel, 97.48, 9, 43.866, 921.186, 3/14/2019, 14:19, Ewallet, 877.32, 4.761904762, 43.866, 7.4]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:35,247 - INFO - Sent: b'[809-46-1866, A, Yangon, Normal, Male, Health and beauty, 58.15, 4, 11.63, 244.23, 1/23/2019, 17:44, Cash, 232.6, 4.761904762, 11.63, 8.4]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:38,254 - INFO - Sent: b'[728-47-9078, C, Naypyitaw, Member, Male, Food and beverages, 59.59, 4, 11.918, 250.278, 1/19/2019, 12:46, Cash, 238.36, 4.761904762, 11.918, 9.8]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:41,260 - INFO - Sent: b'[151-33-7434, B, Mandalay, Normal, Female, Food and beverages, 67.77, 1, 3.3885, 71.1585, 2/4/2019, 20:43, Credit card, 67.77, 4.761904762, 3.3885, 6.5]' on port 9999. Hit CTRL-C to stop.
2024-05-02 11:22:44,264 - INFO - Sent: b'[156-20-0370, B, Mandalay, Normal, Female, Electronic accessories, 25.45, 1, 1.2725, 26.7225, 3/10/2019, 18:10, Credit card, 25.45, 4.761904762, 1.2725, 5.1]' on port 9999. Hit CTRL-C to stop.
